Strategy,Type,Capital Needed,Win Rate,Expected Return,Best Market,Complexity,Time Required,Risk Level,Notes
Iron Condor,Options Selling,₹5L+,65-75%,2-3% monthly,Range-bound,Medium,1-2 hrs/week,Low-Medium,Close at 50% profit
Calendar Spread,Options,₹5L+,60-70%,3-5% monthly,Elevated IV,Medium,1-2 hrs/week,Medium,IV term structure
Gamma Scalping,Options,₹10L+,40-50%,5-10% monthly,High Vol,Hard,2-3 hrs/week,High,Delta hedge continuously
Covered Call,Options Income,₹3L+,65-75%,1-2% monthly,Range/Bull,Easy,30 min/week,Low,Only on stocks you own
Cash-Secured Put,Options,₹5L+,70-80%,1-3% monthly,Bear/Range,Easy,30 min/week,Low,Only on stocks you want to own
Wheel Strategy,Options,₹5L+,70-80%,2-4% monthly,Range-bound,Medium,1 hr/week,Low-Medium,Put → Stock → Call → Repeat
Pair Trading,Market Neutral,₹5L+,60-65%,1-2% monthly,Any,Hard,2-3 hrs/week,Medium,Cointegration-based
Sector Rotation,Trend Following,₹3L+,55-60%,3-6% monthly,Trending,Medium,1-2 hrs/week,Medium,FADE model
Momentum Breakout,Trend Following,₹1L+,52-58%,3-5% monthly,Trending,Easy,1 hr/week,Medium,Volume confirmation required
Mean Reversion,Counter-Trend,₹2L+,55-62%,2-4% monthly,Range-bound,Medium,1-2 hrs/week,Medium,VIX < 18 only
52-Week High Breakout,Trend Following,₹1L+,55-60%,4-6% monthly,Trending,Easy,30 min/week,Medium,Wait for retest
Volatility Squeeze,Breakout,₹1L+,55-60%,5-8% monthly,Pre-breakout,Medium,1 hr/week,Medium,BB Width narrowing
Harmonic Patterns,Reversal,₹1L+,55-65%,4-7% monthly,Reversal zones,Hard,2-3 hrs/week,Medium-High,PRZ entry with confirmation
Block Deal Following,Institutional,₹1L+,58-62%,5-8% monthly,Any,Easy,30 min/week,Medium,Named FII buyer required
Earnings Momentum,Event-Driven,₹2L+,55-60%,5-8% monthly,Pre-earnings,Medium,1 hr/week,Medium,Exit before binary event
VWAP Reversion,Intraday-Swing,₹2L+,55-60%,1-3% monthly,Any,Medium,2-3 hrs/day,Low-Medium,11:30 AM - 1:00 PM window
RSI Divergence,Technical,₹1L+,58-65%,3-5% monthly,Post-pullback,Medium,1 hr/week,Medium,Above 200 SMA filter
Bollinger Band Reversal,Technical,₹2L+,55-62%,2-4% monthly,Range-bound,Easy,1 hr/week,Low-Medium,VIX < 22 filter

